tt4154796   8.4 948888
tt0111161	9.3	2484590
tt0468569	9	2438706
tt1375666	8.8	2188526
tt0137523	8.8	1957947
tt0110912	8.9	1922449
tt0109830	8.8	1921014
tt0944947	9.2	1896849
tt0133093	8.7	1775090
tt0120737	8.8	1742335
tt0167260	8.9	1721011
tt0068646	9.2	1715521
tt0816692	8.6	1636137
tt0903747	9.4	1604249
tt1345836	8.4	1589273
tt0167261	8.7	1555923
tt0114369	8.6	1529416
tt1853728	8.4	1439777
tt0172495	8.5	1409408
tt0372784	8.2	1369178
tt0361748	8.3	1344253
tt0102926	8.6	1342115
tt0848228	8	1315440
tt0120815	8.6	1301608
tt0076759	8.6	1284534
tt0993846	8.2	1279300
tt0108052	8.9	1274976
tt0482571	8.5	1253930
tt0407887	8.5	1249049
tt0080684	8.7	1212743
tt0120689	8.6	1212357
tt1130884	8.2	1207388
tt0071562	9	1191546
tt0209144	8.4	1176060
tt0499549	7.8	1162661
tt0088763	8.5	1121402
tt0169547	8.3	1109447
tt0120338	7.8	1101952
tt2015381	8	1101938
tt0110413	8.5	1090035
tt0099685	8.7	1078298
tt0434409	8.1	1073199
tt0120586	8.5	1072658
tt0266697	8.1	1053386
tt0325980	8	1050066
tt0910970	8.4	1049232
tt0103064	8.5	1039690
tt0114814	8.5	1034534
tt0120382	8.1	997329
tt0112573	8.3	993360
tt0086190	8.3	992260
tt0371746	7.9	990788
tt0110357	8.5	990342
tt0266543	8.1	989356
tt1049413	8.2	981842
tt0105236	8.3	964123
tt0073486	8.7	959332
tt4154796	8.4	957326
tt1431045	8	957227
tt0338013	8.3	954006
tt0081505	8.4	952718
tt0167404	8.1	947317
tt4154756	8.4	938144
tt1392190	8.1	935583
tt0114709	8.3	933008
tt4574334	8.7	928180
tt0082971	8.4	921866
tt2267998	8.1	916791
tt0107290	8.1	915595
tt1520211	8.2	911115
tt0108778	8.8	909569
tt0477348	8.1	908234
tt0119217	8.3	907337
tt0264464	8.1	896043
tt2488496	7.8	889214
tt0268978	8.2	886379
tt1392170	7.2	877320
tt1475582	9.1	857658
tt0198781	8.1	856176
tt0078748	8.4	829608
tt0095016	8.2	825274
tt0088247	8	823963
tt1010048	8	820704
tt0208092	8.3	816377
tt1201607	8.1	809139
tt1675434	8.5	802865
tt3659388	8	801684
tt0180093	8.3	800012
tt2395427	7.3	797949
tt1300854	7.1	796661
tt1454468	7.7	795390
tt0435761	8.2	790717
tt0066921	8.3	790390
tt0800369	7	789298
tt0458339	6.9	788532
tt0903624	7.8	784484
tt0086250	8.3	784191
tt1843866	7.7	783782
tt0253474	8.5	776838
tt2582802	8.5	771359
